Date,Open,High,Low,Close,AdjClose,Volume,MMO,MMH,MML,MMC,MMV,PPR,PPC,PPO,Fut
14/03/2019,177.130005,177.339996,176.660004,176.710007,172.581268,23751500,178.1439974,179.2140014,177.6119994,178.4640016,36375380,0.0038,0.0735,0.6912,0.0093
15/03/2019,177.399994,178.880005,177.279999,178.350006,174.182953,38192000,178.5619966,180.3120026,178.119998,179.6360016,40110780,0.0090,0.6688,0.0750,0.0006
18/03/2019,177.949997,178.990005,177.589996,178.449997,174.597778,32935100,179.4379976,180.9900024,178.3379972,179.678,46631280,0.0078,0.6143,0.2571,0.0034
19/03/2019,179.179993,180,178.289993,179.050003,175.18483,36893300,179.429999,180.9600006,178.2059966,179.6320008,49311560,0.0096,0.4444,0.5205,0.0040
20/03/2019,179.059998,180.860001,178.240005,179.759995,175.879517,50105000,179.5140016,181.098001,178.1759978,179.6320008,48582520,0.0146,0.5801,0.3130,0.0156
21/03/2019,179.220001,182.830002,179.199997,182.570007,178.62886,42428500,179.5660034,180.870001,177.847998,179.2600006,45980860,0.0199,0.9284,0.0055,-0.0220
22/03/2019,181.779999,182.270004,178.369995,178.559998,174.705429,70794500,179.3940034,180.0999998,177.4559996,178.4079988,43568800,0.0218,0.0487,0.8744,-0.0019
25/03/2019,177.910004,178.839996,176.929993,178.220001,174.372757,46336500,178.976004,179.6119994,177.4999998,178.628,36451000,0.0107,0.6754,0.5131,0.0047
26/03/2019,179.600006,180.690002,178.139999,179.050003,175.18483,33248100,179.6960022,180.2959992,178.268002,179.3919984,33377600,0.0142,0.3569,0.5726,-0.0064
27/03/2019,179.320007,179.720001,176.600006,177.899994,174.059677,37096700,180.224002,180.7399996,178.996002,180.127997,31257020,0.0175,0.4167,0.8718,0.0023
28/03/2019,178.360001,178.979996,177.240005,178.309998,174.4608,30368200,181.1119996,181.779999,180.3180022,181.303998,30164380,0.0098,0.6149,0.6437,0.0076
29/03/2019,179.690002,179.830002,178.589996,179.660004,175.781677,35205500,182.2059998,182.8839998,181.4,182.3839998,29796900,0.0069,0.8629,0.8871,0.0132
